iter	Passed	Remaining
0	1	1658
1	2	1100
2	2	916
3	3	898
4	4	848
5	4	789
6	5	763
7	5	734
8	6	713
9	6	692
10	7	705
11	8	712
12	9	703
13	9	686
14	10	673
15	10	664
16	11	656
17	11	647
18	12	640
19	13	659
20	14	656
21	14	655
22	15	662
23	16	663
24	16	661
25	17	668
26	18	675
27	19	680
28	20	685
29	21	694
30	22	690
31	23	697
32	23	690
33	24	697
34	25	699
35	26	701
36	26	698
37	27	692
38	28	690
39	28	690
40	29	687
41	29	683
42	30	679
43	31	675
44	31	670
45	32	667
46	32	664
47	33	661
48	33	659
49	34	658
50	35	657
51	36	668
52	37	668
53	38	670
54	38	669
55	39	667
56	40	664
57	42	695
58	43	694
59	44	691
60	44	689
61	45	685
62	46	684
63	46	680
64	47	677
65	47	674
66	48	676
67	49	673
68	49	670
69	50	669
70	53	699
71	54	697
72	55	701
73	56	703
74	57	703
75	57	700
76	58	697
77	58	694
78	59	695
79	60	693
80	60	690
81	61	688
82	61	682
83	62	680
84	62	677
85	63	675
86	64	673
87	64	669
88	65	667
89	65	665
90	66	662
91	66	659
92	67	656
93	67	654
94	68	651
95	68	649
96	69	646
97	69	643
98	70	641
99	71	639
100	71	637
101	72	635
102	72	632
103	73	632
104	74	631
105	74	629
106	75	627
107	76	628
108	76	627
109	77	626
110	78	628
111	79	630
112	80	631
113	81	632
114	82	631
115	83	633
116	83	632
117	84	633
118	85	635
119	86	635
120	87	635
121	88	635
122	89	634
123	89	633
124	90	631
125	91	631
126	91	630
127	92	630
128	93	629
129	93	628
130	94	628
131	95	626
132	96	626
133	96	625
134	97	623
135	98	622
136	98	621
137	99	620
138	99	618
139	100	617
140	101	616
141	101	614
142	102	612
143	103	612
144	103	612
145	104	612
146	105	611
147	106	613
148	107	611
149	107	609
150	108	607
151	108	605
152	109	604
153	109	603
154	110	601
155	110	600
156	111	598
157	112	598
158	112	597
159	113	596
160	113	593
161	114	591
162	115	590
163	115	589
164	116	588
165	116	587
166	117	585
167	117	583
168	118	582
169	119	581
170	119	579
171	120	578
172	121	581
173	122	579
174	122	578
175	123	577
176	123	576
177	124	576
178	125	576
179	126	576
180	127	575
181	127	574
182	128	572
183	128	571
184	129	570
185	130	570
186	131	570
187	132	570
188	132	569
189	133	569
190	134	568
191	134	567
192	135	567
193	136	567
194	137	568
195	138	568
196	139	568
197	140	568
198	141	568
199	142	568
200	142	568
201	143	568
202	144	566
203	144	565
204	145	564
205	146	563
206	146	561
207	147	560
208	147	559
209	148	558
210	149	557
211	149	556
212	150	555
213	150	554
214	151	552
215	151	551
216	152	551
217	153	551
218	154	551
219	155	550
220	156	550
221	157	550
222	157	550
223	158	549
224	159	550
225	160	550
226	161	550
227	163	552
228	163	551
229	165	552
230	165	551
231	166	551
232	167	550
233	167	549
234	168	548
235	171	555
236	172	555
237	173	555
238	173	553
239	174	552
240	174	551
241	175	549
242	176	549
243	176	548
244	177	547
245	178	545
246	178	544
247	179	543
248	179	541
249	180	540
250	180	539
251	181	537
252	181	536
253	182	535
254	183	534
255	183	533
256	184	533
257	185	532
258	186	532
259	187	532
260	187	531
261	188	530
262	188	529
263	189	528
264	189	526
265	190	525
266	191	524
267	191	523
268	192	521
269	192	521
270	193	520
271	193	518
272	194	518
273	195	517
274	196	516
275	196	515
276	197	515
277	198	515
278	199	515
279	200	514
280	200	513
281	201	512
282	202	512
283	203	512
284	203	511
285	204	510
286	207	515
287	207	513
288	208	512
289	208	511
290	209	510
291	209	509
292	210	507
293	211	506
294	211	505
295	212	504
296	212	503
297	213	502
298	214	502
299	215	501
300	215	501
301	216	500
302	217	499
303	218	499
304	219	499
305	219	498
306	220	497
307	221	497
308	223	498
309	223	497
310	224	496
311	224	495
312	226	498
313	227	497
314	228	497
315	229	496
316	230	496
317	230	495
318	231	494
319	232	493
320	232	492
321	233	491
322	234	490
323	234	489
324	235	488
325	236	487
326	236	487
327	237	485
328	237	485
329	238	484
330	239	483
331	239	481
332	240	480
333	240	479
334	241	478
335	241	477
336	242	477
337	243	476
338	243	475
339	244	475
340	245	474
341	245	473
342	246	472
343	247	472
344	248	471
345	249	471
346	250	471
347	251	471
348	252	470
349	252	469
350	253	468
351	254	468
352	255	468
353	256	467
354	256	466
355	257	465
356	257	464
357	258	463
358	260	465
359	261	465
360	262	464
361	262	463
362	263	462
363	264	461
364	264	460
365	265	460
366	266	459
367	266	458
368	267	457
369	268	456
370	268	455
371	269	454
372	269	453
373	270	453
374	271	452
375	272	452
376	273	452
377	274	451
378	275	450
379	275	450
380	276	449
381	277	448
382	278	448
383	279	448
384	279	447
385	280	445
386	281	445
387	282	444
388	282	444
389	283	444
390	284	443
391	285	443
392	286	442
393	287	442
394	288	442
395	289	441
